product_link,transformed_title
https://www.noon.com/saudi-en/iphone-15-pro-max-256gb-black-titanium-5g-with-facetime-middle-east-version/N53432493A/p/?o=ea494d7c3358a48d,"Category: iPhone, Brand: Apple, Series: 15 Pro Max"
https://www.noon.com/saudi-en/galaxy-s23-ultra-5g-dual-sim-phantom-black-12gb-ram-256gb-international-version/N53379147A/p/?o=ffa06254b074517d,"Category: Smartphone, Brand: Samsung, Series: Galaxy S23 Ultra 5G"
https://www.noon.com/saudi-en/zipforce-true-wireless-earbuds-in-ear-bluetooth-5-3-headphones-bluetooth-earbuds-touch-control-30-playtime-ipx5-waterproof-tws-light-weight-earphones/ZDFD9FC0C48DF8C91D823Z/p/?o=zdfd9fc0c48df8c91d823z-1,"Category: Earbuds
Brand: ZIPFORCE
Series: True Wireless Earbuds"
https://www.noon.com/saudi-en/macbook-air-with-13-3-inch-retina-display-core-i5-processor-10th-gen-macos-8gb-ram-512-gb-ssd-intel-iris-plus-graphics-with-english-keyboard-2020-gold-english-gold/N36062336A/p/?o=f5a2f63a5155b11c,"Category: MacBook Air, Brand: Apple, Series: 2020 Gold"
https://www.noon.com/saudi-en/galaxy-tab-s8-graphite-8gb-ram-128gb-5g-middle-east-version/N52535568A/p/?o=c52ad9141f39b82f,"Category: Tablet, Brand: Samsung, Series: Galaxy Tab S8"
https://www.noon.com/saudi-en/inspiron-14-5410-convertible-laptop-with-14-inch-fhd-touchscreen-display-11th-gen-intel-core-i3-1125g4-256gb-ssd-4-gb-ram-intel-uhd-graphics-win-10-home-eng-ar-kb-english-arabic-silver/N50226701A/p/?o=b790305fc48a2d2e,"Category: Laptop
Brand: Dell
Series: Inspiron 14 5410 Convertible"
https://www.noon.com/saudi-en/airpods-3rd-generation-with-lightning-charging-case-white/N53349332A/p/?o=acdf2eca6d2afd9c,"Category: Headphones, Brand: Apple, Series: AirPods (3rd generation)"
https://www.noon.com/saudi-en/eos-5d-mark-iv-dslr-camera-with-ef-24-105mm-is-usm-lens-fast-versatile-full-frame-camera-30-4-mp-4k-wi-fi-gps/N13299769A/p/?o=ae440035122d245e,"Category: DSLR Camera
Brand: Canon
Series: EOS 5D Mark IV"
https://www.noon.com/saudi-en/65-inch-4k-uhd-google-tv-smart-tv-dolby-vision-dolby-atmos-google-assistant-in-built-chromecast-and-premium-streaming-channels-model-2023-65p637-black/N53362855A/p/?o=be83f5f423e3b68d,"Category: 4K UHD Google TV
Brand: Smart TV
Series: 65P637 Black"
https://www.noon.com/saudi-en/band-6-all-day-spo2-monitoring-fullview-display-2-weeks-battery-life-1-47-inch-graphite-black/N46954808A/p/?o=c0bca8a9176c08af,"Category: Fitness Tracker, Brand: Band 6, Series: All-Day SPO2 Monitoring"
https://www.noon.com/saudi-en/playstation-5-with-blu-ray-disc-version-new-model-official-ksa-version/N70022608V/p/?o=a2e071547d90cb4e,"Category: PlayStation, Brand: Sony, Series: 5 With Blu-Ray Disc Version (New Model)"
https://www.noon.com/saudi-en/flip-6-portable-waterproof-speaker-black/N52103168A/p/?o=d5f6408d0cf41c5c,"Category: Portable, Brand: Flip, Series: 6 Waterproof Speaker"
https://www.noon.com/saudi-en/20000mah-high-speed-charging-technology-powerbank-18-watt-black/N43785642A/p/?o=c7ce75c5e275ac9e,"Category: Powerbank, Brand: High-Speed Charging Technology, Series: 20000mAh 18 watt Black"
https://www.noon.com/saudi-en/ipad-2022-10th-generation-10-9-inch-64gb-wifi-silver-international-version/N53359870A/p/?o=b20b57f27aee378a,"Category: iPad
Brand: Apple
Series: 2022 (10th Generation) 10.9-inch 64GB WiFi Silver - International Version"
https://www.jarir.com/sa-en/default-category/apple-iphone-15-pro-max-smartphones-623606.html,"Category: Mobile Phone, Brand: Apple, Series: iPhone 15 Pro Max"
https://www.jarir.com/sa-en/default-category/samsung-galaxy-s23-ultra-smartphones-606986.html,"Category: Smartphone, Brand: Samsung, Series: Galaxy S23 Ultra"
https://www.extra.com/en-sa/mobiles-tablets/mobiles/smartphone/apple-iphone-15-pro-max-5g-6-7-inch-256gb-natural-titanium/p/100345839,"Category: Smartphone
Brand: Apple
Series: iPhone 15 Pro Max"
https://www.noon.com/saudi-en/redmi-note-13-dual-sim-chromatic-purple-8gb-ram-256gb-5g-global-version/N70094401V/p/?o=f1f56a1ea33f308c,"Category: Smartphone, Brand: Redmi, Series: Note 13"
https://www.tunisianet.com.tn/disques-ssd/73444-disque-dur-interne-ssd-adata-asx6000-lite-256gb-pcie-3d-nand-pcie-gen.html,"3X4 M.2 2280

Category: DISQUE DUR INTERNE SSD
Brand: ADATA
Series: ASX6000 LITE 256GB PCIE 3D NAND PCIE GEN3X4 M."
https://www.mytek.tn/cle-usb-team-group-c212-1to-usb-3-2-noir.html,"Category: Clé USB
Brand: Team Group
Series: C212 1TO USB 3.2 - Noir"
https://www.mytek.tn/cle-usb-team-group-c173-8go-usb-2-0-noir.html,"Category: Clé USB
Brand: Team Group
Series: C173 8GO USB 2.0 - Noir"
https://www.noon.com/saudi-en/smart-band-6-sport-watch-1-56-inch-amoled-hd-screen-24h-heart-rate-stress-sleep-monitoring-spo2-female-health-tacking-5atm-waterproof-black/N53344994A/p/?o=e4caabeb16cabf0c,"Category: Smart Band, Brand: Sport Watch, Series: 6"
https://www.noon.com/saudi-en/cloud-ii-wired-over-ear-gaming-headphones-for-ps4-ps5-xone-xseries-nintendo-switch-and-pc/N16659460A/p/?o=a2768ae3b26e7fcb,"Category: Gaming Headphones, Brand: Cloud II, Series: Wired Over-Ear"
https://www.jarir.com/sa-en/acer-swift-go-14-laptops-624116.html,"Category: Laptop, Brand: Acer, Series: Swift Go"
https://www.extra.com/en-sa/mobiles-tablets/mobile-accessories/chargers/apple-usb-c-power-adapter-20w-white/p/100208269,"Category: Adapter, Brand: Apple, Series: USB-C Power Adapter"
