id,title
1,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
2,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
3,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
4,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
5,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
6,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
7,AirPods (3rd generation) with Lightning Charging Case White
8,EOS 5D Mark IV DSLR Camera With EF 24-105mm IS USM Lens Fast Versatile Full Frame Camera 30.4 MP 4K Wi-Fi GPS
9,"65-Inch 4K UHD Google TV, Smart TV, Dolby vision, Dolby atmos, Google assistant, In-built chromecast and premium streaming channels Model ( 2023 ) 65P637 Black"
10,Band 6 All-Day SPO2 Monitoring Fullview Display 2 Weeks Battery Life 1.47 inch Graphite Black
11,iPhone 15 Pro Max 256GB Black Titanium 5G With FaceTime - Middle East Version
12,Galaxy S23 Ultra 5G Dual SIM Phantom Black 12GB RAM 256GB - International Version
13,"ZIPFORCE True Wireless Earbuds, in-Ear Bluetooth 5.3 Headphones, Bluetooth Earbuds Touch Control 30 Playtime, IPX5 Waterproof TWS, Light-Weight Earphones"
14,"MacBook Air With 13.3-inch Retina Display, Core i5 Processor/10th Gen/macOS/8GB RAM/512 GB SSD/Intel Iris Plus Graphics With English Keyboard-2020 Gold English Gold"
15,Galaxy Tab S8 Graphite 8GB RAM 128GB 5G - Middle East Version
16,"Inspiron 14 5410 Convertible Laptop With 14 Inch FHD Touchscreen Display, 11th Gen Intel Core i3-1125G4/ 256GB SSD/ 4 GB RAM/ Intel UHD Graphics/ Win 10 Home/ Eng Ar KB English/Arabic Silver"
17,AirPods (3rd generation) with Lightning Charging Case White
